Name,Address,Country,City
希臘天空景觀餐廳 Greece's Sky,"No. 50, Lane 369, Beining Road, Zhongzheng District, Keelung City, 202",1,27
金客來小吃店,"No. 39號, Lane 12, Yisan Road, Xinyi District, Keelung City, 201",1,27
通通泰式風味小吃,"No. 120, Gongjian Road, Qidu District, Keelung City, 206",1,27
輕鬆宴日式、港式海鮮會館,"20047, Keelung City, Ren’ai District, Aiyi Rd, 35號2樓",1,27
Fengche Yinyue Restaurant,"200, Keelung City, Ren’ai District, Aier Road, 50號2樓",1,27
雞籠海鮮樓,"202, Keelung City, Zhongzheng District, Zhongzheng Rd, 62號2樓",1,27
滿滿燒肉,"No. 23, Aier Road, Ren’ai District, Keelung City, 200",1,27
全家福海鮮樓,"No. 221號, Wenhua Road, Zhongshan District, Keelung City, 203",1,27
Ms.Lee 全芳味餐廳,"No. 14, Jijin 3rd Road, Anle District, Keelung City, 204",1,27
森林旁邊 La Forêt 親子友善餐廳,"No. 236號, Zhongzheng Rd, Zhongzheng District, Keelung City, 202",1,27
Wu Lang seafood restaurant,"No. 46, Anyi Road, Zhongshan District, Keelung City, 203",1,27
基隆古早風味甕仔雞-麥金店,"No. 1號, Lane 11, Maijin Road, Anle District, Keelung City, 204",1,27
Ming Wei Restaurant,"No. 216號, Jijin 1st Road, Anle District, Keelung City, 204",1,27
後山海景咖啡,"No. 105, Lane 65, Zhongshaner Road, Zhongshan District, Keelung City, 203",1,27
外木山餐廳,"號, No. 39, Section 1, Huhai Road, Zhongshan District, Keelung City, 203",1,27
丸山日式涮涮鍋,"No. 45, Aier Road, Ren’ai District, Keelung City, 200",1,27
HND好日子美式海鮮餐廳,"202, Keelung City, Zhongzheng District, Yier Road, 81號202",1,27
小蒙牛頂級麻辣養生火鍋-HOTPOT-基隆店,"202, Keelung City, Zhongzheng District, Xinyi Rd, 177號32樓",1,27
我媽煮的菜,"No. 356號, Jijin 1st Road, Anle District, Keelung City, 204",1,27
Second Floor Café,"No. 7, Alley 9, Lane 316, Section 3, Roosevelt Rd, Zhongzheng District, Taipei City, 100",1,28
Mixiang Tai Cai Restaurant,"No. 55, Lequn 2nd Road, Zhongshan District, Taipei City, 104",1,28
BELLINI CAFFE 台北復興店,"No. 288號, Fuxing North Road, Zhongshan District, Taipei City, 104",1,28
Buttermilk 摩登美式餐廳,"No. 57之1號, Section 2, Zhongshan N Rd, Zhongshan District, Taipei City, 10491",1,28
GUMGUM Beer & Wings 雞翅酒吧,"No. 38號, Alley 11, Lane 473, Guangfu South Road, Xinyi District, Taipei City, 110",1,28
Berry Italian Restaurant,"114, Taipei City, Neihu District, Alley 44, Lane 22, Wende Road, 20號1樓",1,28
GAUCHO高卓人阿根廷炭烤餐廳(花博店),"No. 1號, Yumen Street, Zhongshan District, Taipei City, 10491",1,28
Addiction Aquatic Development,"No. 18號, Alley 2, Lane 410, Minzu East Road, Zhongshan District, Taipei City, 10491",1,28
Stream Music Salon,"No. 18號, Lane 316, Section 3, Luosifu Road, Zhongzheng District, Taipei City, 10088",1,28
Thai Bazaar Breeze Xinyi Restaurant,"110, Taipei City, Xinyi District, Section 5, Zhongxiao East Road, 68號4樓",1,28
樂天皇朝台灣 Paradise Dynasty,"110, Taipei City, Xinyi District, Section 5, Zhongxiao East Road, 68號微風信義商場 4樓",1,28
TONWAY,"No. 3, Alley 27, Lane 372, Section 5, Zhongxiao East Road, Xinyi District, Taipei City, 110",1,28
ahmicafé,"No. 63號, Section 2, Zhongshan N Rd, Zhongshan District, Taipei City, 104",1,28
GB Brewery Restaurant – Taipei DaZhi Store,"10491, Taipei City, Zhongshan District, Jingye 3rd Road, 123號1樓",1,28
山頂餐廳 上海江浙菜,"No. 124, Gezhi Road, Shilin District, Taipei City, 111",1,28
Cyclamen Garden Seafood Restaurant,"112, Taipei City, Beitou District, Section 2, Donghua St, 114號112號",1,28
MiraWan,"110, Taipei City, Xinyi District, Songzhi Road, 17號47樓",1,28
NOTE,"No. 578號, Guangfu South Road, Da’an District, Taipei City, 106",1,28
Celestial (天廚菜館),"104, Taipei City, Zhongshan District, Nanjing West Road, 1號3樓",1,28
人和園餐廳,"No. 16號, Jinzhou Street, Zhongshan District, Taipei City, 104",1,28
燒桶子 韓風立燒,"No. 99, Yanji Street, Da’an District, Taipei City, 106",1,28
Bo Li Lu Restaurant,"No. 308號, Minsheng West Road, Datong District, Taipei City, 103",1,28
台北站福利餐廳,"DunHua N Rd, Songshan District, Taipei City, 105",1,28
Stan & Cat 史丹貓美式餐廳 忠孝店,"No. 26, Lane 160, Section 1, Dunhua South Road, Da’an District, Taipei City, 106",1,28
Wayne’s New York 瑋恩紐約美式龍蝦牛排餐廳,"No. 81號, Section 2, Keelung Rd, Xinyi District, Taipei City, 110",1,28
Backpacker Cafe,"No. 40號, Lane 236, Section 1, Dunhua South Road, Da’an District, Taipei City, 106",1,28
好食多涮涮屋,"No. 5號, Lane 19, Shuangcheng Street, Zhongshan District, Taipei City, 104",1,28
小食泰 Fanthaisy 泰式料理餐廳/台北中山國中美食/泰國菜/附近美食/restaurants,"No. 27號, Lane 238, Dunhua North Road, Songshan District, Taipei City, 105",1,28
BaganHood 蔬食餐酒館,"No. 11號, Alley 46, Lane 553, Section 4, Zhongxiao East Road, Xinyi District, Taipei City, 110",1,28
但馬家鐵板燒 Taijimaya Teppanyaki,"105, Taipei City, Songshan District, 敦化北路166號5樓",1,28
Xing Penglai Taiwanese cuisine Seafood Restaurants,"No. 55, Section 7, Zhongshan North Road, Shilin District, Taipei City, 111",1,28
Elfin Restaurant & lounge,"No. 21, Alley 5, Lane 107, Section 1, Fuxing South Road, Da’an District, Taipei City, 106",1,28
