Name,Address,Country,City
Nasi Kak Wok (Original),"213, Jalan Masjid Lundang, Kampung Lundang, 15150 Kota Bharu, Kelantan, Malaysia",3,12
冠亞酒家,"454, Jln Pengkalan Chepa, Bandar Kota Bharu, 15200 Kota Bharu, Kelantan, Malaysia",3,12
Restoran KST,"Lot 3118, Batu 4, Jalan Kuala Krai, Taman Desa Murni, 15150 Kota Bharu, Kelantan, Malaysia",3,12
九龙茶餐室 Kow Lun Restoran,"2, Jln Kebun Sultan, Bandar Kota Bharu, 15300 Kota Bharu, Kelantan, Malaysia",3,12
Restoran Solehah,"5473B, Jalan Dusun Muda, Kampung Dusun Muda, 15200 Kota Bharu, Kelantan, Malaysia",3,12
Manok Restaurant,"Lot 47, Kampung Mulong, 16010 Kota Bharu, Kelantan, Malaysia",3,12
FZ CAFÉ,"Lot 488/489, Rumah Kedai Lembah Sireh, D1, 15050 Kota Bharu, Kelantan, Malaysia",3,12
Nasi Kerabu Tumis Moksu Tini,"Lot 2216 Wakaf Haji Abdullah, Jalan Masjid, 15100 Kota Bharu, Kelantan, Malaysia",3,12
Malis Cafe & Restaurant,"AH18, Desa Sri Putra, 16210 Tumpat, Kelantan, Malaysia",3,12
Cheng Mai Thai Food Restoran 清迈泰式餐馆,"No.107, Kampung Kulim, Wakaf Bharu Tumpat, Kampung kulim, 16250 Wakaf Bharu, Kelantan, Malaysia",3,12
Wild Coriander Melaka (Pork Free Asian Restaurant),"40, Jalan Kampung Pantai, 75200 Melaka, Malaysia",3,13
My Homely Café,"297, Jalan Melaka Raya 2, Taman Melaka Raya, 75000 Melaka, Malaysia",3,13
馬六甲硬石餐廳,"28, Lorong Hang Jebat, 75200 Melaka, Malaysia",3,13
Manis J Nyonya Restaurant,"167, Jalan Bunga Raya, 75100 Melaka, Malaysia",3,13
Cottage Spices Nyonya Restaurant,"171, Jln Merdeka, Taman Melaka Raya, 75000 Melaka, Malaysia",3,13
Wa Zen Japanese Restaurant Sdn. Bhd.,"38, Jalan Melaka Raya 15, Taman Melaka Raya, 75000 Melaka, Malaysia",3,13
Southern Court Chinese Restaurant,"Bayview Hotel Melaka, No 55, Jalan Bendahara, Kampung Bukit China, 75100 Melaka, Malaysia",3,13
Salud Tapas,"94, Jalan Tun Tan Cheng Lock, 75300 Melaka, Malaysia",3,13
Sirocco Restaurant,"Holiday Inn, Jalan Syed Abdul Aziz, 75000 Melaka, Malaysia",3,13
The Baboon House,"89, Jalan Tun Tan Cheng Lock, Kampung Bukit China, 75200 Melaka, Malaysia",3,13
SamFu Restaurant,"108, Jalan Bunga Raya, Kampung Jawa, 75100 Melaka, Malaysia",3,13
Little Taiwan,"AEON Bandaraya Melaka, G59 & G60, No. 2, Jalan Lagenda, Taman I-Lagenda, 75400, Melaka, Melaka, 75400Malaysia",3,13
Restoran Nyonya Makko,"123, Jln Merdeka, Taman Melaka Raya, 75000 Melaka, Malaysia",3,13
Bulldog,"145, Jalan Bendahara, 75100 Melaka, Malaysia",3,13
Hakka Zhan Restaurant,"76, Jalan Laksamana 5, Taman Kota Laksamana, 75200 Melaka, Malaysia",3,13
Selvam Restaurant,"3, Jalan Temenggong, Bandar Hilir, 75100 Melaka, Malaysia",3,13
Miller's Kitchen Restaurant,"No.5 11, Seksyen 3,, Jalan KL 3/9, Taman Kota Laksamana, 75200 Melaka, Malaysia",3,13
Teo Soon Loong Seafood Restaurant,"Kompleks Perniagaan Kota Syahbandar, 42,44, Jalan KPKS 1, 75200 Melaka, Malaysia",3,13
東昇園海鮮家,"No. 377 & 378, Taman Melaka Raya, 75000 Melaka, Malaysia",3,13
Makan Nyonya,"Jalan Merdeka, Bandar Hilir, Melaka Raya, 75000, Malacca, Malaysia",3,13
FLOYD KITCHEN MELAKA,"No 5, Jln Lagenda 3, Taman 1 - Lagenda, 75400 Melaka, Malaysia",3,13
素林素食餐廳民宿,"3, Jalan Kampung Kuli, 75200 Melaka, Malaysia",3,13
Bayonya Restaurant,"164, Jalan Taman Melaka Raya, 75000, Melaka, Melaka, 75000Malaysia",3,13
中泰食館,"No. 267 & 267A, Jalan Melaka Raya 3, Taman Melaka Raya, Melaka, 75000 Malacca, Malaysia",3,13
Restaurant Lee Swee Meng,"Jalan Melaka Raya 35, Taman Melaka Raya, 75000 Melaka, Malaysia",3,13
Restoran Saravanna - Chettinadu King,"18, Jalan Bendahara, Kampung Bukit China, 75100 Melaka, Malaysia",3,13
The River Grill,"88, Jalan Kota Laksamana, Melaka, 75200 Melaka, Malaysia",3,13
Lanun's Cafe Melaka,"No. 19, Jalan Ttc 26A, Taman Teknologi Cheng, 75250 Cheng, Melaka, Malaysia",3,13
LET'S GO 52 PULAU MELAKA,"G88 & 89, RIVIERA@PULAU MELAKA, Jalan Baiduri 1, Taman Pulau Melaka, 75000, Malacca, Malaysia",3,13
Nancy's Kitchen,"No 13, Jalan KL 3/8, Taman Kota Laksamana, 75200 Melaka, Malaysia",3,13
City Famous Seafood,"No. 500, Taman Melaka Raya, 75000, Melaka, Melaka, Malaysia",3,13
Kocik Kitchen 小姑娘惹餐館,"100, Jalan Tun Tan Cheng Lock, 75200 Melaka, Malaysia",3,13
Modern World Restaurant,"NO 12, Jln KSB 1, TAMAN KOTA SYAHBANDAR, 75200 Melaka, Malaysia",3,13
馬來西亞十三州咖啡,"11, Jalan Hang Kasturi, 75250 Melaka, Malaysia",3,13
Ibis Kampung Restaurant by Ibis Melaka,"249, Jalan Bendahara, Kampung Bukit China, 75100 Melaka, Malaysia",3,13
River View Café,"80 & 82, Jalan Kampung Pantai, 75200 Melaka, Malaysia",3,13
The Limau Purut @ Dataran Pahlawan Melaka,"LOT G065, Upper Ground Floor Dataran Pahlawan Melaka Megamall, Bandar Hilir, 75000, Melaka, Malaysia",3,13
大西洋菜館,"145, Jalan Kubu, Kampung Satu, 75300 Melaka, Malaysia",3,13
Yes Thai Restaurant Malacca,"7, Jalan KL 3/10A, Taman Mahajaya, 75300 Centre, Melaka, Malaysia",3,13
Restoran Negeri,"Jalan Tuanku Munawir, Bandar Seremban, 70000 Seremban, Negeri Sembilan, Malaysia",3,14
Restoran Selera Nogori,"602&603, Jalan Haruan 4/8, Oakland Commercial Centre, 70300 Seremban, Negeri Sembilan, Malaysia",3,14
Jigger & Shaker,"PT 12653, Jalan Pusat Dagangan Sendayan, 1, Bandar Sri Sendayan, 71950 Seremban, Negeri Sembilan, Malaysia",3,14
Aunty Aini's Garden Café,"Batu 16, Kampung Chelet, 71800 Nilai, Negeri Sembilan, Malaysia",3,14
Negri Restaurant,"16, Jalan Tuanku Munawir, Negeri Sembilan, 70000 Seremban, Malaysia",3,14
Restoran Dpantai,"Lot 1, Batu 6, Jalan Pantai, 71770 Seremban, Negeri Sembilan, Malaysia",3,14
Hadramawt Emirates Restaurant,"PT 10871, Persiaran 1 Sendayan Utama Pusat Dagangan Sendayan, Bandar Sri Sendayan, 71950 Sendayan, Negeri Sembilan, Malaysia",3,14
ZAINI SALAI HOUSE ULU BENDUL,"No. 33A Kampung Ulu bendul, 71500 Tanjung Ipoh, Negeri Sembilan, Malaysia",3,14
City Park Oriental Seremban 2,"111, 102, Jalan S2 D32, Seremban 2, 70300 Seremban, Negeri Sembilan, Malaysia",3,14
