CATEGORY,NAME OF BRAND,ADDRESS,POSTAL CODE
Restaurant,Collin's,"6 Raffles Boulevard, Marina Square #01-204/205 Singapore 039594",39594
Restaurant,Collin's,"8 Grange Road, Cineleisure Orchard #B1-08/09 Singapore 239695",239695
Event Caterer,Collin's,"930 Yishun Ave 2, Northpoint City #01-113/114 Singapore 768159",768159
Event Caterer,Collin's,"65 Airport Boulevard, Changi Airport Terminal 3 #03-21 Mezz South Singapore 819663",819663
Event Caterer,Collin's,Paya Lebar Quarter #B1-01,409057
Cafe (Food),Continental Delight C,21 Second Chin Bee Road Singapore 618780,618780
Cafe (Food),Country Foods,501 Old Chua Chu Kang Road Singapore 698928,698928
Cafe (Food),Curry Pot Catering,96C Jalan Senang Singapore 418483,418483
Cafe (Food),Curry Times,238 Thomson Road #02-33 Novena Square Singapore 307683,307683
Cafe (Food),Curry Times,3 Gateway Drive #02-08 Westgate Singapore 608532,608532
Cafe (Food),Curry Times,"1 Northpoint Drive #B1-201 Northpoint City, South Wing Singapore 768019",768019
Bakery,Curry Times,65 Airport Boulevard #B2-51 Changi Airport Terminal 3 Singapore 819663,819663
Event Caterer,Curry Times,30 Airport Boulevard #02-81 Changi Airport Terminal 4 Singapore 819662,819662
Cafe (Food),Curry Times,460 Alexandra Road #02-36 Alexandra Retail Centre Singapore 119963,119963
Restaurant,Delcie's,34 Whampoa West #01-83 Bendemeer Ville Singapore 330034,330034
Restaurant,Deli Hub,1 Enterprise road,629813
Restaurant,Delifrance,"10 Pandan Crescent, #05-01, S128466",128466
Restaurant,Dian Xiao Er,"311 New Upper Changi Road, #01-73/74, Bedok Mall, Singapore 467360",467360
Restaurant,Dian Xiao Er,"50 Jurong Gateway Road, #03-08, JEM",608549
Restaurant,Dian Xiao Er,"63 Jurong West Central 3, #03-26/27, Jurong Point, Singapore 648331",648331
Restaurant,Dian Xiao Er,"21 Choa Chu Kang Avenue 4, #B1-32/33, Lot One, Singapore 689812",689812
Restaurant,Dian Xiao Er,"203 Marina Way, #02-203/204, Marina Square, Singapore 039594",39594
Restaurant,Dian Xiao Er,"23 Serangoon Central, #02-09/10, NEX, Singapore 556083",556083
Restaurant,Dian Xiao Er,"65 Airport Boulevard, #03-42/43, Changi Airport Terminal 3, Singapore 819663",819663
Restaurant,Dian Xiao Er,"1 HarbourFront Walk, #02-138/9, VivoCity Singapore 098585",98585
Restaurant,Dian Xiao Er,"Junction 8, 9 Bishan Place #B1-07",579837
Restaurant,Dian Xiao Er,15 Petir Road #01-08 Singapore 678270,678270
Restaurant,Din Tai Fung,311 New Upper Changi Road #B1-10,467360
Restaurant,Din Tai Fung,30 Tai Seng Street #01-02,534013
Restaurant,Din Tai Fung,133 New Bridge Road #02-01,59413
Restaurant,Din Tai Fung,50 Jurong Gateway Road #02-07,608549
Restaurant,Din Tai Fung,9 Bishan Place #01-41,579837
Restaurant,Din Tai Fung,63 Jurong West Central 3 #B1-68,648331
Restaurant,Din Tai Fung,51 Bras Basah Road #01-02,189554
Restaurant,Din Tai Fung,8A Marina Boulevard #B2-05,18984
Restaurant,Din Tai Fung,2 Bayfront Avenue #B2-63,18972
Restaurant,Din Tai Fung,23 Serangoon Central #B1-10,556083
Restaurant,Din Tai Fung,80 Marine Parade Road #01-15,449269
Restaurant,Din Tai Fung,252 North Bridge Road #B1-08,179103
Restaurant,Din Tai Fung,26 Sentosa Gateway #01-217,98138
Restaurant,Din Tai Fung,3 Temasek Boulevard #02-302,38983
Restaurant,Din Tai Fung,4 Tampines Central 5 #02-01,529510
Restaurant,Din Tai Fung,435 Orchard Road Level 4,238877
Cafe (Food),Din Tai Fung,33 Sengkang West Avenue #02-07,797653
Restaurant,Din Tai Fung,"83 Punggol Central, Waterway Point",828761
Restaurant,Din Tai Fung,290 Orchard Road #B1-03,238859
Restaurant,Dining in Garden @ AM,"4300 Ang Mo Kio Ave 6, AMK Library #01-01 Singapore 569842",569842
Food Court,Dragon Phoenix Restau,131 Rifle Range Road #02-03 Singapore 588406,588406
Restaurant,East West Fusion Pte.,145 Pandan Loop #01-0A Singapore 128455,128455
Restaurant,Eatz Catering Service,3017 Bedok North Street 5 #01-02 Gourmet East Kitchen Singapore 486121,486121
Restaurant,Eatzi Gourmet Bistro,60 Yishun Ave 4 #01-V2 Singapore 769027,769027
Restaurant,Eatzi Gourmet Bistro,60 Paya Lebar Road #B1-15 Singapore 409051,409051
Food Court,Eight Treasures Group,282 South Bridge Road Singapore 058831,58831
Food Court,F M Food Master,1 Fusionpolis Place #02-01,138522
